on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_persons_harmed
JUMEL PLACE                     ,0,0,0
ABERDEEN STREET                 ,0,0,0
JUDGE STREET                    ,0,0,0
JORDAN AVENUE                   ,0,0,0
AARON LANE                      ,0,0,0
9TH AVE                         ,0,0,0
JEWEL STREET                    ,0,0,0
99 PLACE                        ,0,0,0
KENILWORTH AVENUE               ,0,0,0
94 ROAD                         ,0,0,0
ADAMS AVENUE                    ,0,0,0
JACKIE ROBINSON PARKWAY         ,0,0,0
HYMEN COURT                     ,0,0,0
KNOX PLACE                      ,0,0,0
90 ROAD                         ,0,0,0
INDEPENDENCE AVENUE             ,0,0,0
92ND STREET                     ,0,0,0
93 ROAD                         ,0,0,0
AGNES PLACE                     ,0,0,0
KINGSBRIDGE TERRACE             ,0,0,0
ADELPHI STREET                  ,0,0,0
KINGS PLACE                     ,0,0,0
KINGS COLLEGE PLACE             ,0,0,0
KING STREET                     ,0,0,0
KING ROAD                       ,0,0,0
KIMBERLY PLACE                  ,0,0,0
ITHACA STREET                   ,0,0,0
KIISSENA BLVD                   ,0,0,0
ITTNER PLACE                    ,0,0,0
KEW FOREST LANE                 ,0,0,0
KESSEL STREET                   ,0,0,0
KERMIT PLACE                    ,0,0,0
KENT STREET                     ,0,0,0
HOUSTON STREET                  ,0,0,0
85 DRIVE                        ,0,0,0
LENOX TERRACE PLACE             ,0,0,0
ALTANTIC AVENUE                 ,0,0,0
72 PLACE                        ,0,0,0
72 ROAD                         ,0,0,0
HESTER STREET                   ,0,0,0
MADISON AVE                     ,0,0,0
HEWITT PLACE                    ,0,0,0
HEWLETT STREET                  ,0,0,0
75 ROAD                         ,0,0,0
HEYWARD STREET                  ,0,0,0
AMADOR STREET                   ,0,0,0
MAC DOUGAL STREET               ,0,0,0
LYON AVENUE                     ,0,0,0
HOUSEMAN AVENUE                 ,0,0,0
LYNCH STREET                    ,0,0,0
HIGHLAND BOULEVARD EAST         ,0,0,0
LUTHERAN AVENUE                 ,0,0,0
LURTING AVENUE                  ,0,0,0
LUQUER STREET                   ,0,0,0
LUDWIG LANE                     ,0,0,0
LUDLUM AVENUE                   ,0,0,0
HILBURN AVENUE                  ,0,0,0
LUCAS STREET                    ,0,0,0
LOWELL STREET                   ,0,0,0
HERMANY AVENUE                  ,0,0,0
HENWOOD PLACE                   ,0,0,0
HENSHAW STREET                  ,0,0,0
71 ROAD                         ,0,0,0
68 PLACE                        ,0,0,0
MARCUS GARVEY BLVD              ,0,0,0
MARCONI STREET                  ,0,0,0
MARAN PLACE                     ,0,0,0
AMUNDSON AVENUE                 ,0,0,0
68 STREET AND BAY PARKWAY       ,0,0,0
MANTON STREET                   ,0,0,0
MANSION STREET                  ,0,0,0
MANSION AVENUE                  ,0,0,0
MANSE STREET                    ,0,0,0
HENNESSEY PLACE                 ,0,0,0
MANIDA STREET                   ,0,0,0
MANHATTAN COLLEGE PARKWAY       ,0,0,0
7 AVE                           ,0,0,0
HENRY HUDSON PARKWAY EAST       ,0,0,0
70 AVENUE                       ,0,0,0
MANHATTAN                       ,0,0,0
AMITY STREET                    ,0,0,0
HENRY HUDSON PARKWAY S          ,0,0,0
MALCOM X BLVD                   ,0,0,0
MALCOLM X BLVD                  ,0,0,0
LOW TERRACE                     ,0,0,0
LOUISIANA AVE & VANDALIA        ,0,0,0
LOUIS PLACE                     ,0,0,0
LITTLE WEST 12 STREET           ,0,0,0
LION STREET                     ,0,0,0
81 ROAD                         ,0,0,0
82 DRIVE                        ,0,0,0
LINDBERGH AVENUE                ,0,0,0
LINCOLN ROAD                    ,0,0,0
HOOKER PLACE                    ,0,0,0
82 ROAD                         ,0,0,0
83 AVENUE                       ,0,0,0
ALDUS STREET                    ,0,0,0
HORACE HARDING EXPWAY           ,0,0,0
HORACE HARDING EXPWY            ,0,0,0
LIE                             ,0,0,0
HORATIO STREET                  ,0,0,0
84 AVENUE                       ,0,0,0
HORIZON LANE                    ,0,0,0
HORRACE HARDING EXPRESSWAY      ,0,0,0
LEWIS PLACE                     ,0,0,0
HORTON AVENUE                   ,0,0,0
HOSMER AVENUE                   ,0,0,0
LEROY STREET                    ,0,0,0
84 ROAD                         ,0,0,0
HOLLY STREET                    ,0,0,0
HOLLIS HILLS TERRACE            ,0,0,0
HILLMAN AVENUE                  ,0,0,0
ALLEN AVENUE                    ,0,0,0
LOTT STREET                     ,0,0,0
76 ROAD                         ,0,0,0
LOTT AVE                        ,0,0,0
ALSTYNE AVENUE                  ,0,0,0
ALMEDA AVENUE                   ,0,0,0
ALLISON AVENUE                  ,0,0,0
HITCHCOCK AVENUE                ,0,0,0
LONGSTREET AVENUE               ,0,0,0
HOBART STREET                   ,0,0,0
ALLEY PARK                      ,0,0,0
HOFFMAN DRIVE                   ,0,0,0
78 ROAD                         ,0,0,0
HOGAN PLACE                     ,0,0,0
79 AVENUE                       ,0,0,0
HOLLERS AVENUE                  ,0,0,0
LOCUST STREET                   ,0,0,0
LOCUST AVENUE                   ,0,0,0
LOCKE STREET                    ,0,0,0
ALLENDALE STREET                ,0,0,0
LLOYD STREET                    ,0,0,0
79 LANE                         ,0,0,0
NORTH 5 STREET                  ,0,0,0
AUBURNDALE LANE                 ,0,0,0
BEACH 40 STREET                 ,0,0,0
RIO DRIVE                       ,0,0,0
ROBIN LANE                      ,0,0,0
BASSFORD AVENUE                 ,0,0,0
EATON PLACE                     ,0,0,0
ECHO PLACE                      ,0,0,0
RIVINGTON AVENUE                ,0,0,0
RIVERTON STREET                 ,0,0,0
29 ROAD                         ,0,0,0
RIVERSIDE BOULEVARD             ,0,0,0
ECKFORD AVENUE                  ,0,0,0
ECKFORD STREET                  ,0,0,0
ED KOCH BRIDGE                  ,0,0,0
EDINBORO ROAD                   ,0,0,0
RIEDEL AVENUE                   ,0,0,0
RIDGEWOOD PLACE                 ,0,0,0
RIDGECREST AVENUE               ,0,0,0
RIDGE STREET                    ,0,0,0
BASSETT AVENUE                  ,0,0,0
BARUCH DRIVE                    ,0,0,0
EDGEGROVE AVENUE                ,0,0,0
EDGERTON BOULEVARD              ,0,0,0
EDGEWATER ROAD                  ,0,0,0
EDGEWATER STREET                ,0,0,0
BATH AVE                        ,0,0,0
ROCHAMBEAU AVENUE               ,0,0,0
29 AVENUE                       ,0,0,0
28 ROAD                         ,0,0,0
BAY 28 STREET                   ,0,0,0
ROSEBANK PLACE                  ,0,0,0
ROSE AVENUE                     ,0,0,0
ROOSEVELT DRIVE                 ,0,0,0
BAY 20 STREET                   ,0,0,0
ROME DRIVE                      ,0,0,0
ROME AVENUE                     ,0,0,0
BAY 20                          ,0,0,0
ROFF STREET                     ,0,0,0
BAY 14 STREET                   ,0,0,0
ROEBLING                        ,0,0,0
RODMAN PLACE                    ,0,0,0
ROCKWOOD STREET                 ,0,0,0
ROCKWELL PLACE                  ,0,0,0
266 STREET                      ,0,0,0
EAST HAMPTON BOULEVARD          ,0,0,0
267 STREET                      ,0,0,0
BAXTER STREET                   ,0,0,0
EAST MOSHOLU PARKWAY NORTH      ,0,0,0
BATTERY PLACE                   ,0,0,0
271 STREET                      ,0,0,0
RICHMAN PLAZA                   ,0,0,0
EDSALL AVENUE                   ,0,0,0
ERASMUS STREET                  ,0,0,0
QUINTARD STREET                 ,0,0,0
RAYMOND PLACE                   ,0,0,0
ELLWELL CRESCENT                ,0,0,0
RARITAN AVENUE                  ,0,0,0
RAPELYE STREET                  ,0,0,0
RANDOLPH STREET                 ,0,0,0
33 ROAD                         ,0,0,0
RADNOR STREET                   ,0,0,0
RADNOR ROAD                     ,0,0,0
ELSMERE PLACE                   ,0,0,0
BARRY STREET                    ,0,0,0
EMERALD STREET                  ,0,0,0
EDWARD L GRANT HIGHWAY          ,0,0,0
EMERSON PLACE                   ,0,0,0
EMMET AVENUE                    ,0,0,0
QUINCE AVENUE                   ,0,0,0
BARROW STREET                   ,0,0,0
EMPIRE AVENUE                   ,0,0,0
36 ROAD                         ,0,0,0
ENGERT AVENUE                   ,0,0,0
QUEENSBORO BRIDGE OUTER ROADWAY ,0,0,0
ENRIGHT ROAD                    ,0,0,0
EPSOM COURSE                    ,0,0,0
READS LANE                      ,0,0,0
RECTOR STREET                   ,0,0,0
REDFERN AVENUE                  ,0,0,0
REED STREET                     ,0,0,0
EGAN STREET                     ,0,0,0
REYNOLDS AVENUE                 ,0,0,0
REVIEW PLACE                    ,0,0,0
31 PLACE                        ,0,0,0
REVERE PLACE                    ,0,0,0
REV. JAMES POLITE AVENUE        ,0,0,0
REV JAMES POLITE AVENUE         ,0,0,0
ELBERTSON STREET                ,0,0,0
RETFORD AVENUE                  ,0,0,0
RESERVOIR OVAL WEST             ,0,0,0
RESERVOIR OVAL EAST             ,0,0,0
ELDER AVENUE                    ,0,0,0
ELDERT STREET                   ,0,0,0
RENWICK AVENUE                  ,0,0,0
REMSEN STREET                   ,0,0,0
BARTLETT STREET                 ,0,0,0
ELGAR PLACE                     ,0,0,0
BARTLETT AVENUE                 ,0,0,0
ELIZABETH AVENUE                ,0,0,0
REGINA AVENUE                   ,0,0,0
ELLSWORTH AVE                   ,0,0,0
ROSS STREET                     ,0,0,0
ROSWELL AVENUE                  ,0,0,0
ROWLAND STREET                  ,0,0,0
SCRIBNER AVENUE                 ,0,0,0
SECOND AVENUE                   ,0,0,0
BEACH 129 STREET                ,0,0,0
BEACH 12 STREET                 ,0,0,0
250 STREET                      ,0,0,0
BEACH 119 STREET                ,0,0,0
BEACH 116 STREET                ,0,0,0
SEABURY PLACE                   ,0,0,0
BEACH 114 STREET                ,0,0,0
SEABRING STREET                 ,0,0,0
SEA BREEZE AVENUE               ,0,0,0
BEACH 112 STREET                ,0,0,0
ROYCE PLACE                     ,0,0,0
SCHUYLER STREET                 ,0,0,0
SCHURZ AVENUE                   ,0,0,0
SCHROEDERS AVE                  ,0,0,0
251 STREET                      ,0,0,0
SCHMIDTS LANE                   ,0,0,0
SCHLEY AVENUE                   ,0,0,0
SCHIEFELIN PLACE                ,0,0,0
BEACH 109 STREET                ,0,0,0
252 STREET                      ,0,0,0
BEACH 105 STREET                ,0,0,0
SECOR AVENUE                    ,0,0,0
SEDGWICK AVE                    ,0,0,0
BEACH 133 STREET                ,0,0,0
SEGUINE AVENUE                  ,0,0,0
BEACH 37 STREET                 ,0,0,0
245 STREET                      ,0,0,0
SHELDON AVENUE                  ,0,0,0
SHEFFIELD AVENUE                ,0,0,0
BEACH 3 STREET                  ,0,0,0
EAST 238 STREET                 ,0,0,0
EAST 242 STREET                 ,0,0,0
SHARROTTS ROAD                  ,0,0,0
BEACH 26 STREET                 ,0,0,0
SHALER AVENUE                   ,0,0,0
247 STREET                      ,0,0,0
BEACH 22 STREET                 ,0,0,0
EAST 31 STREET                  ,0,0,0
SETON PLACE                     ,0,0,0
25 DRIVE                        ,0,0,0
SENATOR STREET                  ,0,0,0
BEACH 17 STREET                 ,0,0,0
SELOVER ROAD                    ,0,0,0
SELFRIDGE STREET                ,0,0,0
BEACH 16 STREET                 ,0,0,0
SEGUINE PLACE                   ,0,0,0
SCHENCK STREET                  ,0,0,0
SCHENCK COURT                   ,0,0,0
BEACH 101 STREET                ,0,0,0
SAINT FELIX STREET              ,0,0,0
BAY 52 STREET                   ,0,0,0
26 STREET                       ,0,0,0
SAINT ALBANS PLACE              ,0,0,0
SAGAMORE AVENUE                 ,0,0,0
BAY 50 STREET                   ,0,0,0
SACKET AVENUE                   ,0,0,0
SABLE AVENUE                    ,0,0,0
RYERSON STREET                  ,0,0,0
BAY 48 STREET                   ,0,0,0
RYDER AVENUE                    ,0,0,0
RYAWA AVENUE                    ,0,0,0
RYAN COURT                      ,0,0,0
BAY 46 STREET                   ,0,0,0
RUTLEDGE AVENUE                 ,0,0,0
RUTHERFORD PLACE                ,0,0,0
BAY 43 STREET                   ,0,0,0
RUST AVENUE                     ,0,0,0
RUSSELL STREET                  ,0,0,0
RUSSEK DRIVE                    ,0,0,0
RUPPERT PLACE                   ,0,0,0
RUBY STREET                     ,0,0,0
SAINT FELIX AVENUE              ,0,0,0
SAINT FRANCIS PLACE             ,0,0,0
BEACH 100 STREET                ,0,0,0
SAINT JOHN AVENUE               ,0,0,0
BAYSIDE LANE                    ,0,0,0
BAYSIDE AVENUE                  ,0,0,0
EAST 58TH ST                    ,0,0,0
256 STREET                      ,0,0,0
BAYFIELD AVENUE                 ,0,0,0
SANDS PLACE                     ,0,0,0
SANDFORD STREET                 ,0,0,0
258 STREET                      ,0,0,0
BAYARD STREET                   ,0,0,0
BAY VIEW AVENUE                 ,0,0,0
SAINT RAYMOND AVENUE            ,0,0,0
SAINT PAULS PLACE               ,0,0,0
BAY RIDGE PKWY                  ,0,0,0
SAINT PAUL AVENUE               ,0,0,0
SAINT NICHOLAS TERRACE          ,0,0,0
SAINT NICHOLAS PLACE            ,0,0,0
EAST 6TH STREET                 ,0,0,0
26 AVE                          ,0,0,0
BAY 7 STREET                    ,0,0,0
SAINT LUKES PLACE               ,0,0,0
26 ROAD                         ,0,0,0
37 ROAD                         ,0,0,0
ERICSON PLACE                   ,0,0,0
NORTH 8 STREET                  ,0,0,0
PAERDEGAT 12 STREET             ,0,0,0
BADEN PLACE                     ,0,0,0
BABBAGE STREET                  ,0,0,0
PALMER AVENUE                   ,0,0,0
PALISADE PLACE                  ,0,0,0
PALADINO AVENUE                 ,0,0,0
PAGE PLACE                      ,0,0,0
FOREST PARK DRIVE EAST          ,0,0,0
PAERDEGAT AVENUE NORTH          ,0,0,0
PAERDEGAT 7 STREET              ,0,0,0
PAERDEGAT 3 STREET              ,0,0,0
FOREST PARK DRIVE WEST          ,0,0,0
FOSTER AVE                      ,0,0,0
FORREST STREET                  ,0,0,0
OTTO ROAD                       ,0,0,0
FORT INDEPENDENCE STREET        ,0,0,0
FORT PLACE                      ,0,0,0
AVON STREET                     ,0,0,0
OSBORNE PLACE                   ,0,0,0
ORIENTAL BOULEVARD              ,0,0,0
ORCHARD STREET                  ,0,0,0
54 ROAD                         ,0,0,0
ORANGE STREET                   ,0,0,0
53 PLACE                        ,0,0,0
PARK AVEUNE                     ,0,0,0
FOREST AVE                      ,0,0,0
FORD STREET                     ,0,0,0
FLATLANDS AVE                   ,0,0,0
PATTERSON AVENUE                ,0,0,0
BAKER AVENUE                    ,0,0,0
FLEET PLACE                     ,0,0,0
51 ROAD                         ,0,0,0
PARSONS BLVD                    ,0,0,0
PARKVIEW TERRACE                ,0,0,0
PARKVIEW AVENUE                 ,0,0,0
BAISLEY AVENUE                  ,0,0,0
52 AVENUE                       ,0,0,0
PARKINSON AVENUE                ,0,0,0
PARKER STREET                   ,0,0,0
PARKCHESTER ROAD                ,0,0,0
PARK TERRACE WEST               ,0,0,0
FOAM PLACE                      ,0,0,0
52 DRIVE                        ,0,0,0
52 ROAD                         ,0,0,0
PARK LANE                       ,0,0,0
PARK HILL LANE                  ,0,0,0
PARK HILL CIRCLE                ,0,0,0
FOOD CENTER DRIVE               ,0,0,0
ORANGE AVENUE                   ,0,0,0
AVIATION ROAD                   ,0,0,0
QUEENS STREET                   ,0,0,0
NORTHERN BLVD                   ,0,0,0
FRIEL PLACE                     ,0,0,0
OAK PARK DRIVE                  ,0,0,0
OAK AVENUE                      ,0,0,0
FRISCO AVENUE                   ,0,0,0
NUNLEY COURT                    ,0,0,0
56 DRIVE                        ,0,0,0
NORWAY AVENUE                   ,0,0,0
FROST STREET                    ,0,0,0
FTELEY AVENUE                   ,0,0,0
57 DRIVE                        ,0,0,0
NORTH STREET                    ,0,0,0
OLYMPIA BOULEVARD               ,0,0,0
NORTH SAINT AUSTINS PLACE       ,0,0,0
FULLER PLACE                    ,0,0,0
NORTH OXFORD STREET             ,0,0,0
NORTH MOORE STREET              ,0,0,0
NORTH HENRY STREET              ,0,0,0
FURMAN AVENUE                   ,0,0,0
G.C.P. / C.I.P. (CDR)           ,0,0,0
NORTH CHANNEL BRIDGE            ,0,0,0
AUDLEY STREET                   ,0,0,0
NORTH 9 STREET                  ,0,0,0
OAK STREET                      ,0,0,0
OAK TERRACE                     ,0,0,0
OAK TREE PLACE                  ,0,0,0
AUSTIN PLACE                    ,0,0,0
OLMSTEAD DRIVE                  ,0,0,0
FOUNTAIN AVE                    ,0,0,0
OLIVER STREET                   ,0,0,0
OLIVE STREET                    ,0,0,0
FOWLER AVENUE                   ,0,0,0
FOX HILL TERRACE                ,0,0,0
FRAME PLACE                     ,0,0,0
OLD NEW UTRECHT ROAD            ,0,0,0
AVENUE OF PEACE                 ,0,0,0
OLD KINGSBRIDGE ROAD            ,0,0,0
FRANKFORT STREET                ,0,0,0
OLD FULTON                      ,0,0,0
OLD AMBOY ROAD                  ,0,0,0
OGORMAN AVENUE                  ,0,0,0
FRANKLIN D ROOSEVELT DRIVE      ,0,0,0
FRANKLIN PLACE                  ,0,0,0
55 ROAD                         ,0,0,0
FRAWLEY CIRCLE                  ,0,0,0
FREEDOM PLACE                   ,0,0,0
FREMONT AVENUE                  ,0,0,0
OAKLAND PLACE                   ,0,0,0
FLATLANDS 3 STREET              ,0,0,0
PAYSON AVENUE                   ,0,0,0
49 PLACE                        ,0,0,0
POWERS AVENUE                   ,0,0,0
EXIT 21B                        ,0,0,0
PROSPECT COURT                  ,0,0,0
44 ROAD                         ,0,0,0
BARKER AVENUE                   ,0,0,0
EXTERIOR STREET AND WEST 225ST  ,0,0,0
FAHY AVENUE                     ,0,0,0
FAIRBANKS AVENUE                ,0,0,0
PRATT AVENUE                    ,0,0,0
FAIRFIELD STREET                ,0,0,0
POWERS STREET                   ,0,0,0
POWELLS COVE BOULEVARD          ,0,0,0
FLATLANDS 1 STREET              ,0,0,0
POWELL AVENUE                   ,0,0,0
45 DRIVE                        ,0,0,0
PORTAL STREET                   ,0,0,0
FAIRVIEW PLACE                  ,0,0,0
FANCHON PLACE                   ,0,0,0
POPPENHUSEN AVENUE              ,0,0,0
POPLE AVENUE                    ,0,0,0
POPHAM AVENUE                   ,0,0,0
FAR ROCKAWAY BOULEVARD          ,0,0,0
PONTIAC PLACE                   ,0,0,0
EVERITT PLACE                   ,0,0,0
42 ROAD                         ,0,0,0
BARKER STREET                   ,0,0,0
42 PLACE                        ,0,0,0
38TH AVE                        ,0,0,0
39 PLACE                        ,0,0,0
QUEENS PLAZA                    ,0,0,0
QUEENS MIDTOWN TUNNEL EXIT      ,0,0,0
39 ROAD                         ,0,0,0
ERICSSON PLACE                  ,0,0,0
ERICSSON STREET                 ,0,0,0
4 AVE                           ,0,0,0
QUEENS BLVD                     ,0,0,0
QUEEN STREET                    ,0,0,0
QUARRY ROAD                     ,0,0,0
ES KOCH BRIDGE                  ,0,0,0
4 PLACE                         ,0,0,0
PURITAN AVENUE                  ,0,0,0
PURDY STREET                    ,0,0,0
PURDY AVENUE                    ,0,0,0
EST 42 STREET                   ,0,0,0
BARKLEY AVENUE                  ,0,0,0
EUNICE PLACE                    ,0,0,0
EVELETH ROAD                    ,0,0,0
EVERDELL AVENUE                 ,0,0,0
POND PLACE                      ,0,0,0
POMPEY AVENUE                   ,0,0,0
FARRAGUT AVENUE                 ,0,0,0
PIAVE AVENUE                    ,0,0,0
PETTIT AVENUE                   ,0,0,0
PETERCA PLACE                   ,0,0,0
PETER MINUIT PLAZA              ,0,0,0
PERRY STREET                    ,0,0,0
FILLMORE STREET                 ,0,0,0
PEROT STREET                    ,0,0,0
PERIMETER RD                    ,0,0,0
FINEST AVENUE                   ,0,0,0
FINLAY STREET                   ,0,0,0
FIRST AVENUE                    ,0,0,0
FISHER AVENUE                   ,0,0,0
FITCHETT STREET                 ,0,0,0
47 ROAD                         ,0,0,0
FLATBUSH AVE                    ,0,0,0
49 LANE                         ,0,0,0
BALTIC STREET                   ,0,0,0
PECK SLIP                       ,0,0,0
PECK AVENUE                     ,0,0,0
PEARTREE AVENUE                 ,0,0,0
PEARSON STREET                  ,0,0,0
PEARSON PLACE                   ,0,0,0
PHELAN PLACE                    ,0,0,0
46 ROAD                         ,0,0,0
PLYMOUTH AVENUE                 ,0,0,0
PIEDMONT AVENUE                 ,0,0,0
PLUMB 1 STREET                  ,0,0,0
FARRAGUT PLACE                  ,0,0,0
FARRINGTON AVENUE               ,0,0,0
BANKER STREET                   ,0,0,0
BANK STREET                     ,0,0,0
FENIMORE STREET                 ,0,0,0
PLATTWOOD AVENUE                ,0,0,0
PLATT STREET                    ,0,0,0
FERN PLACE                      ,0,0,0
PLAINVIEW AVENUE                ,0,0,0
FERNDALE AVENUE                 ,0,0,0
45 ROAD                         ,0,0,0
FERNSIDE PLACE                  ,0,0,0
PINSON STREET                   ,0,0,0
PINEVILLE LANE                  ,0,0,0
PINEHURST AVENUE                ,0,0,0
FERRIS PLACE                    ,0,0,0
FIELD PLACE                     ,0,0,0
PIKE SLIP                       ,0,0,0
PIERREPONT STREET               ,0,0,0
FIELDSTON ROAD                  ,0,0,0
MARTENSE STREET                 ,0,0,0
